id,name,roll,image_url,timestamp
6,৯ম শ্রেণি(ভোকেশনাল) -  ২০২৫,"৯ম শ্রেণি(ভোকেশনাল) -  ২০২৫
ছাত্র - ৩৯
ছাত্রী -০৮
মোট শিক্ষার্থী -৪৭",https://i.ibb.co/zVFpRw0R/61cf33dc2aab.png,2025-08-22 18:37:10.692680
8,১০ম শ্রেণি (ভোকেশনাল) -  ২০২৫,"১০ম শ্রেণি (ভোকেশনাল) -  ২০২৫
ছাত্র - ২৩
ছাত্রী -০৮
মোট শিক্ষার্থী -৩১",https://i.ibb.co/wFX60SYY/44f8c5c35c0c.png,2025-08-22 18:37:10.692681
7,১০ম শ্রেণি- ২০২৫,"১০ম শ্রেণি- ২০২৫
ছাত্র-২৮
ছাত্রী- ৩৩
মোট শিক্ষার্থী -৬১",https://i.ibb.co/Q7BZ2hB0/e480b631a280.png,2025-08-22 18:37:10.692679
5,৯ম শ্রেণি-  ২০২৫,"৯ম শ্রেণি-  ২০২৫
ছাত্র - ২৫
ছাত্রী -৪৫
মোট শিক্ষার্থী -৭০",https://i.ibb.co/tPsPH8d2/79a15a80ffcf.png,2025-08-22 18:37:10.692678
4,৭ম শ্রেণি-  ২০২৫,"৭ম শ্রেণি-  ২০২৫
ছাত্র - ৫৭
ছাত্রী -৪৮
মোট শিক্ষার্থী -১০৫",https://i.ibb.co/pv3KfgGN/94755e484e4b.png,2025-08-22 18:37:10.692676
3,৮ম শ্রেণি-  ২০২৫,"৮ম শ্রেণি-  ২০২৫
ছাত্র - ৬২
ছাত্রী -৫৫
মোট শিক্ষার্থী -১১৭",https://i.ibb.co/kp1vYNj/b6171f38baaf.png,2025-08-22 18:37:10.692677
2,"৬ষ্ঠ শ্রেণি,( খ শাখা)-  ২০২৫","৬ষ্ঠ শ্রেণি,( খ শাখা)-  ২০২৫
ছাত্রী - ৬০",https://i.ibb.co/Mk8xp9NK/a7ad07b19bbe.png,2025-08-22 18:37:10.692674
1,৬ ষ্ঠ শ্রেণি ( ক শাখা) -  ২০২৫,"৬ ষ্ঠ শ্রেণি ( ক শাখা) -  ২০২৫
ছাত্র - ৫১",https://i.ibb.co/LzZtF69C/987dc0784ef9.png,2025-08-22 18:37:10.692670
